"","N","n2","v1","es1","es2","power","pnexch","pnexch_cutoff","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","n2mult_c"
"51",200,0.1,NA,0.1,0.6,0.9975,0.99495,NA,1,0.9944,0.9944,0.9872,"n2 = 0.1*N"
"52",400,0.1,NA,0.1,0.6,1,0.99998,NA,1,1,1,1,"n2 = 0.1*N"
"53",600,0.1,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"54",800,0.1,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"55",1000,0.1,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"56",200,0.25,NA,0.1,0.6,1,0.99995,NA,1,0.9999,0.9999,0.9998,"n2 = 0.25*N"
"57",400,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"58",600,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"59",800,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"60",1000,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"61",200,0.1,NA,0.1,0.7,0.9998,0.99948,NA,1,0.9994,0.9994,0.9992,"n2 = 0.1*N"
"62",400,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"63",600,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"64",800,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"65",1000,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"66",200,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"67",400,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"68",600,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"69",800,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
