"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"53",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.3,0.9065,0.6221,0.5226,NA,NA,0.8,0.05
"54",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.4,0.9886,0.9557,0.9262,NA,NA,0.8,0.05
"55",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.5,0.9999,1,1,NA,NA,0.8,0.05
"56",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.1,0.5732,0.0759,0.0499,NA,NA,0.8,0.05
"57",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.2,0.7331,0.2382,0.19,NA,NA,0.8,0.05
"58",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.3,0.9369,0.6962,0.6366,NA,NA,0.8,0.05
"59",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.4,0.996,0.9859,0.9771,NA,NA,0.8,0.05
"60",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.5,0.9999,1,1,NA,NA,0.8,0.05
"61",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.1,0.4956,0.0645,0.0524,NA,NA,0.8,0.05
"62",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.2,0.7132,0.2637,0.2289,NA,NA,0.8,0.05
"63",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.3,0.9502,0.7709,0.7376,NA,NA,0.8,0.05
"64",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.4,0.9984,0.9952,0.9931,NA,NA,0.8,0.05
"65",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.5,1,1,1,NA,NA,0.8,0.05
"66",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.1,0.4442,0.0613,0.0562,NA,NA,0.8,0.05
"67",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.2,0.7047,0.288,0.267,NA,NA,0.8,0.05
"68",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.3,0.963,0.8314,0.8156,NA,NA,0.8,0.05
"69",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.4,0.9994,0.9974,0.9972,NA,NA,0.8,0.05
"70",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.5,1,1,1,NA,NA,0.8,0.05
"71",2,"binary",350,350,0.5,0.5,NA,NA,0.1,0.1,0.4331,0.0544,0.0536,NA,NA,0.8,0.05
