"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"50",1,"binary",525,175,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"51",1,"binary",540,60,0.1,0.1,NA,NA,NA,NA,0.0067,0.0029,0.054,NA,0.0285,0.2,0.05
"52",1,"binary",540,60,0.1,0.2,NA,NA,NA,NA,0.3286,0.2009,0.5606,0.1812,0.5424,0.2,0.05
"53",1,"binary",540,60,0.1,0.3,NA,NA,NA,NA,0.8934,0.806,0.9673,0.7946,0.9631,0.2,0.05
"54",1,"binary",540,60,0.1,0.4,NA,NA,NA,NA,0.9981,0.9907,0.9996,0.9901,0.9996,0.2,0.05
"55",1,"binary",540,60,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"56",1,"binary",600,200,0.1,0.1,NA,NA,NA,NA,0.0042,0.0028,0.0488,0.0059,0.0362,0.2,0.05
"57",1,"binary",600,200,0.1,0.2,NA,NA,NA,NA,0.7611,0.6817,0.9355,0.6921,0.9269,0.2,0.05
"58",1,"binary",600,200,0.1,0.3,NA,NA,NA,NA,0.9998,0.9991,1,0.9993,1,0.2,0.05
"59",1,"binary",600,200,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"60",1,"binary",600,200,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"61",1,"binary",630,70,0.1,0.1,NA,NA,NA,NA,0.0051,0.0026,0.0525,NA,0.0276,0.2,0.05
"62",1,"binary",630,70,0.1,0.2,NA,NA,NA,NA,0.3819,0.2558,0.6284,0.2336,0.6116,0.2,0.05
"63",1,"binary",630,70,0.1,0.3,NA,NA,NA,NA,0.9332,0.871,0.9821,0.8628,0.9799,0.2,0.05
"64",1,"binary",630,70,0.1,0.4,NA,NA,NA,NA,0.9989,0.9973,0.9999,0.9969,0.9998,0.2,0.05
"65",1,"binary",630,70,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"66",1,"binary",675,225,0.1,0.1,NA,NA,NA,NA,0.0035,0.002,0.0498,0.0053,0.0352,0.2,0.05
"67",1,"binary",675,225,0.1,0.2,NA,NA,NA,NA,0.8089,0.7395,0.9563,0.7438,0.9509,0.2,0.05
"68",1,"binary",675,225,0.1,0.3,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"69",1,"binary",675,225,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"70",1,"binary",675,225,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"71",1,"binary",720,80,0.1,0.1,NA,NA,NA,NA,0.0044,0.0021,0.0514,NA,0.0293,0.2,0.05
"72",1,"binary",720,80,0.1,0.2,NA,NA,NA,NA,0.4248,0.2903,0.6934,0.2732,0.6745,0.2,0.05
"73",1,"binary",720,80,0.1,0.3,NA,NA,NA,NA,0.962,0.9209,0.9925,0.917,0.9912,0.2,0.05
"74",1,"binary",720,80,0.1,0.4,NA,NA,NA,NA,0.9997,0.999,0.9999,0.999,0.9999,0.2,0.05
"75",1,"binary",720,80,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"76",1,"binary",750,250,0.1,0.1,NA,NA,NA,NA,0.004,0.0029,0.0525,0.0048,0.0412,0.2,0.05
"77",1,"binary",750,250,0.1,0.2,NA,NA,NA,NA,0.8607,0.7976,0.9748,0.8085,0.9718,0.2,0.05
"78",1,"binary",750,250,0.1,0.3,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"79",1,"binary",750,250,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"80",1,"binary",750,250,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"81",1,"binary",810,90,0.1,0.1,NA,NA,NA,NA,0.004,0.0017,0.0502,0.0147,0.0277,0.2,0.05
"82",1,"binary",810,90,0.1,0.2,NA,NA,NA,NA,0.4737,0.3278,0.7261,0.3139,0.7147,0.2,0.05
"83",1,"binary",810,90,0.1,0.3,NA,NA,NA,NA,0.9756,0.9459,0.9961,0.9446,0.9954,0.2,0.05
"84",1,"binary",810,90,0.1,0.4,NA,NA,NA,NA,1,0.9997,1,0.9996,1,0.2,0.05
"85",1,"binary",810,90,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"86",1,"binary",900,100,0.1,0.1,NA,NA,NA,NA,0.0041,0.0016,0.052,0.0126,0.0321,0.2,0.05
"87",1,"binary",900,100,0.1,0.2,NA,NA,NA,NA,0.5299,0.3814,0.7808,0.3635,0.7703,0.2,0.05
