"","N","n2","v1","es1","es2","power","pexch","pexch_cutoff","pexch_power"
"1",200,0.5,1,1,1,0.0515,0.36967,0.0297,0.71591
"2",400,0.5,1,1,1,0.0477,0.30052,0.0188,0.62574
"3",600,0.5,1,1,1,0.0541,0.26759,0.0164,0.59629
"4",800,0.5,1,1,1,0.0517,0.23877,0.0132,0.5563
"5",1000,0.5,1,1,1,0.051,0.22209,0.0102,0.52264
"6",200,0.5,1,1,1.1,0.1097,0.4211,0.0705,0.27376
"7",400,0.5,1,1,1.1,0.1734,0.39894,0.0906,0.21499
"8",600,0.5,1,1,1.1,0.2357,0.40818,0.1224,0.1909
"9",800,0.5,1,1,1.1,0.2808,0.41827,0.1348,0.17905
"10",1000,0.5,1,1,1.1,0.3511,0.44604,0.1739,0.17646
"11",200,0.5,1,1,1.2,0.2915,0.55134,0.2196,0.30625
"12",400,0.5,1,1,1.2,0.5102,0.63171,0.3622,0.33453
"13",600,0.5,1,1,1.2,0.6871,0.71793,0.5079,0.42339
"14",800,0.5,1,1,1.2,0.8065,0.79135,0.6332,0.56145
"15",1000,0.5,1,1,1.2,0.8805,0.84555,0.7325,0.69502
"16",200,0.5,1,1,1.3,0.5615,0.71711,0.4757,0.44723
"17",400,0.5,1,1,1.3,0.8473,0.85693,0.7455,0.72613
"18",600,0.5,1,1,1.3,0.953,0.93364,0.8924,0.91687
"19",800,0.5,1,1,1.3,0.9892,0.97231,0.96,0.98209
"20",1000,0.5,1,1,1.3,0.9963,0.98849,0.986,0.99686
"21",200,0.5,1,1,1.4,0.8081,0.85958,0.7444,0.72619
"22",400,0.5,1,1,1.4,0.9778,0.96584,0.9497,0.97184
"23",600,0.5,1,1,1.4,0.9978,0.99367,0.9936,0.99871
"24",800,0.5,1,1,1.4,0.9999,0.99894,0.9993,0.99994
"25",1000,0.5,1,1,1.4,1,0.99988,1,1
"26",200,0.5,1,1,1.5,0.9434,0.94533,0.9116,0.92963
"27",400,0.5,1,1,1.5,0.9987,0.99534,0.9955,0.99918
"28",600,0.5,1,1,1.5,0.9999,0.99973,0.9999,1
"29",800,0.5,1,1,1.5,1,0.99999,1,1
"30",1000,0.5,1,1,1.5,1,1,1,1
"31",200,0.5,1,1,1.6,0.9882,0.98327,0.9801,0.99087
"32",400,0.5,1,1,1.6,1,0.99973,1,0.99999
"33",600,0.5,1,1,1.6,1,1,1,1
"34",800,0.5,1,1,1.6,1,1,1,1
"35",1000,0.5,1,1,1.6,1,1,1,1
"36",200,0.5,1,1,1.7,0.9988,0.99636,0.997,0.99932
"37",400,0.5,1,1,1.7,1,0.99999,1,1
"38",600,0.5,1,1,1.7,1,1,1,1
"39",800,0.5,1,1,1.7,1,1,1,1
"40",1000,0.5,1,1,1.7,1,1,1,1
"41",200,0.5,1,1,1.8,0.9999,0.99939,0.9999,0.99997
"42",400,0.5,1,1,1.8,1,1,1,1
"43",600,0.5,1,1,1.8,1,1,1,1
"44",800,0.5,1,1,1.8,1,1,1,1
"45",1000,0.5,1,1,1.8,1,1,1,1
"46",200,0.5,1,1,1.9,1,0.99993,1,1
"47",400,0.5,1,1,1.9,1,1,1,1
"48",600,0.5,1,1,1.9,1,1,1,1
"49",800,0.5,1,1,1.9,1,1,1,1
"50",1000,0.5,1,1,1.9,1,1,1,1
"51",200,0.5,1,1,2,1,0.99999,1,1
"52",400,0.5,1,1,2,1,1,1,1
"53",600,0.5,1,1,2,1,1,1,1
"54",800,0.5,1,1,2,1,1,1,1
"55",1000,0.5,1,1,2,1,1,1,1
