"","N","n2","v1","es1","es2","power","pnexch","pnexch_power","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","var_c"
"60",1000,0.5,100,1,2.5,0.6621,0.91602,0.83788,1,0.8464,0.8429,0.6974,"Var = 100"
"61",200,0.5,1,1,3,1,1,1,1,1,1,1,"Var = 1"
"62",400,0.5,1,1,3,1,1,1,1,1,1,1,"Var = 1"
"63",600,0.5,1,1,3,1,1,1,1,1,1,1,"Var = 1"
"64",800,0.5,1,1,3,1,1,1,1,1,1,1,"Var = 1"
"65",1000,0.5,1,1,3,1,1,1,1,1,1,1,"Var = 1"
"66",200,0.5,10,1,3,0.9924,0.99587,0.99869,1,0.9974,0.9974,0.9913,"Var = 10"
"67",400,0.5,10,1,3,1,0.99997,1,1,1,1,1,"Var = 10"
"68",600,0.5,10,1,3,1,1,1,1,1,1,1,"Var = 10"
"69",800,0.5,10,1,3,1,1,1,1,1,1,1,"Var = 10"
"70",1000,0.5,10,1,3,1,1,1,1,1,1,1,"Var = 10"
"71",200,0.5,100,1,3,0.2883,0.89815,0.8136,1,0.8654,0.8525,0.5207,"Var = 100"
"72",400,0.5,100,1,3,0.5171,0.91637,0.83776,1,0.8603,0.8569,0.6608,"Var = 100"
"73",600,0.5,100,1,3,0.6818,0.93696,0.88431,1,0.9039,0.9021,0.7694,"Var = 100"
"74",800,0.5,100,1,3,0.8055,0.95494,0.9271,1,0.9395,0.9386,0.8463,"Var = 100"
"75",1000,0.5,100,1,3,0.878,0.96824,0.95748,1,0.9624,0.9611,0.897,"Var = 100"
"76",200,0.5,1,1,3.5,1,1,1,1,1,1,1,"Var = 1"
"77",400,0.5,1,1,3.5,1,1,1,1,1,1,1,"Var = 1"
"78",600,0.5,1,1,3.5,1,1,1,1,1,1,1,"Var = 1"
"79",800,0.5,1,1,3.5,1,1,1,1,1,1,1,"Var = 1"
"80",1000,0.5,1,1,3.5,1,1,1,1,1,1,1,"Var = 1"
"81",200,0.5,10,1,3.5,0.9997,0.99971,0.99999,1,0.9999,0.9999,0.9997,"Var = 10"
"82",400,0.5,10,1,3.5,1,1,1,1,1,1,1,"Var = 10"
"83",600,0.5,10,1,3.5,1,1,1,1,1,1,1,"Var = 10"
"84",800,0.5,10,1,3.5,1,1,1,1,1,1,1,"Var = 10"
"85",1000,0.5,10,1,3.5,1,1,1,1,1,1,1,"Var = 10"
"86",200,0.5,100,1,3.5,0.4109,0.92064,0.84284,1,0.9139,0.907,0.652,"Var = 100"
"87",400,0.5,100,1,3.5,0.7049,0.95062,0.91063,1,0.9427,0.9408,0.8205,"Var = 100"
"88",600,0.5,100,1,3.5,0.8614,0.97105,0.95924,1,0.9727,0.9718,0.9092,"Var = 100"
"89",800,0.5,100,1,3.5,0.9458,0.98551,0.98655,1,0.9899,0.9896,0.9614,"Var = 100"
"90",1000,0.5,100,1,3.5,0.9769,0.99225,0.99528,1,0.9954,0.9952,0.9822,"Var = 100"
