"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power"
"63",1,"continuous",150,150,1,1,10,10,NA,NA,0.4196,0.0039,0.0505
"64",1,"continuous",150,150,1,2,1,1,NA,NA,1,1,1
"65",1,"continuous",150,150,1,2,3.16227766016838,3.16227766016838,NA,NA,0.8419,0.419,0.7788
"66",1,"continuous",150,150,1,2,10,10,NA,NA,0.5698,0.0215,0.1354
"67",1,"continuous",150,150,1,3,1,1,NA,NA,1,1,1
"68",1,"continuous",150,150,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9951,0.9996
"69",1,"continuous",150,150,1,3,10,10,NA,NA,0.8256,0.1169,0.3977
"70",1,"continuous",150,150,1,4,1,1,NA,NA,1,1,1
"71",1,"continuous",150,150,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"72",1,"continuous",150,150,1,4,10,10,NA,NA,0.9628,0.364,0.7345
"73",1,"continuous",150,150,1,5,1,1,NA,NA,1,1,1
"74",1,"continuous",150,150,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"75",1,"continuous",150,150,1,5,10,10,NA,NA,0.9964,0.7053,0.9287
"76",1,"continuous",200,200,1,1,1,1,NA,NA,0.0195,0.0042,0.0502
"77",1,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,NA,NA,0.0727,0.0042,0.0502
"78",1,"continuous",200,200,1,1,10,10,NA,NA,0.3385,0.0042,0.0502
"79",1,"continuous",200,200,1,2,1,1,NA,NA,1,1,1
"80",1,"continuous",200,200,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9157,0.585,0.8833
"81",1,"continuous",200,200,1,2,10,10,NA,NA,0.5424,0.0274,0.1724
"82",1,"continuous",200,200,1,3,1,1,NA,NA,1,1,1
"83",1,"continuous",200,200,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9995,1
"84",1,"continuous",200,200,1,3,10,10,NA,NA,0.8523,0.1712,0.5206
"85",1,"continuous",200,200,1,4,1,1,NA,NA,1,1,1
"86",1,"continuous",200,200,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"87",1,"continuous",200,200,1,4,10,10,NA,NA,0.9804,0.5193,0.8504
"88",1,"continuous",200,200,1,5,1,1,NA,NA,1,1,1
"89",1,"continuous",200,200,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"90",1,"continuous",200,200,1,5,10,10,NA,NA,0.9986,0.8495,0.9799
"91",1,"continuous",250,250,1,1,1,1,NA,NA,0.0166,0.0029,0.0489
"92",1,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,NA,NA,0.0608,0.0029,0.0489
"93",1,"continuous",250,250,1,1,10,10,NA,NA,0.2905,0.0029,0.0489
"94",1,"continuous",250,250,1,2,1,1,NA,NA,1,1,1
"95",1,"continuous",250,250,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9555,0.7023,0.9444
"96",1,"continuous",250,250,1,2,10,10,NA,NA,0.5275,0.0316,0.2021
"97",1,"continuous",250,250,1,3,1,1,NA,NA,1,1,1
"98",1,"continuous",250,250,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"99",1,"continuous",250,250,1,3,10,10,NA,NA,0.8755,0.2247,0.6052
"100",1,"continuous",250,250,1,4,1,1,NA,NA,1,1,1
"101",1,"continuous",250,250,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"102",1,"continuous",250,250,1,4,10,10,NA,NA,0.9896,0.6344,0.9193
"103",1,"continuous",250,250,1,5,1,1,NA,NA,1,1,1
"104",1,"continuous",250,250,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"105",1,"continuous",250,250,1,5,10,10,NA,NA,0.9996,0.9307,0.9946
"106",1,"continuous",300,300,1,1,1,1,NA,NA,0.0146,0.0033,0.0504
"107",1,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,NA,NA,0.0577,0.0033,0.0504
"108",1,"continuous",300,300,1,1,10,10,NA,NA,0.2531,0.0033,0.0504
"109",1,"continuous",300,300,1,2,1,1,NA,NA,1,1,1
"110",1,"continuous",300,300,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9739,0.7905,0.9711
"111",1,"continuous",300,300,1,2,10,10,NA,NA,0.5341,0.0352,0.2311
"112",1,"continuous",300,300,1,3,1,1,NA,NA,1,1,1
"113",1,"continuous",300,300,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"114",1,"continuous",300,300,1,3,10,10,NA,NA,0.8993,0.2837,0.6793
"115",1,"continuous",300,300,1,4,1,1,NA,NA,1,1,1
"116",1,"continuous",300,300,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"117",1,"continuous",300,300,1,4,10,10,NA,NA,0.9949,0.7302,0.9579
"118",1,"continuous",300,300,1,5,1,1,NA,NA,1,1,1
"119",1,"continuous",300,300,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"120",1,"continuous",300,300,1,5,10,10,NA,NA,1,0.9684,0.9982
"121",1,"continuous",350,350,1,1,1,1,NA,NA,0.0141,0.0025,0.0524
"122",1,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,NA,NA,0.0542,0.0025,0.0524
"123",1,"continuous",350,350,1,1,10,10,NA,NA,0.2239,0.0025,0.0524
"124",1,"continuous",350,350,1,2,1,1,NA,NA,1,1,1
"125",1,"continuous",350,350,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9884,0.8635,0.9875
"126",1,"continuous",350,350,1,2,10,10,NA,NA,0.5382,0.0447,0.2602
"127",1,"continuous",350,350,1,3,1,1,NA,NA,1,1,1
"128",1,"continuous",350,350,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"129",1,"continuous",350,350,1,3,10,10,NA,NA,0.9202,0.3395,0.7498
