"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"62",1,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0894,0.0505,0.8,0.05
"63",1,"continuous",150,150,1,1,10,10,NA,NA,1,0.0894,0.0505,0.8,0.05
"64",1,"continuous",150,150,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"65",1,"continuous",150,150,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.8429,0.7788,0.8,0.05
"66",1,"continuous",150,150,1,2,10,10,NA,NA,1,0.1981,0.1354,0.8,0.05
"67",1,"continuous",150,150,1,3,1,1,NA,NA,1,1,1,0.8,0.05
"68",1,"continuous",150,150,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,0.9996,0.8,0.05
"69",1,"continuous",150,150,1,3,10,10,NA,NA,1,0.5046,0.3977,0.8,0.05
"70",1,"continuous",150,150,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"71",1,"continuous",150,150,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"72",1,"continuous",150,150,1,4,10,10,NA,NA,1,0.8091,0.7345,0.8,0.05
"73",1,"continuous",150,150,1,5,1,1,NA,NA,1,1,1,0.8,0.05
"74",1,"continuous",150,150,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"75",1,"continuous",150,150,1,5,10,10,NA,NA,1,0.9593,0.9287,0.8,0.05
"76",1,"continuous",200,200,1,1,1,1,NA,NA,0.9189,0.0733,0.0502,0.8,0.05
"77",1,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0733,0.0502,0.8,0.05
"78",1,"continuous",200,200,1,1,10,10,NA,NA,1,0.0733,0.0502,0.8,0.05
"79",1,"continuous",200,200,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"80",1,"continuous",200,200,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9165,0.8833,0.8,0.05
"81",1,"continuous",200,200,1,2,10,10,NA,NA,1,0.2196,0.1724,0.8,0.05
"82",1,"continuous",200,200,1,3,1,1,NA,NA,1,1,1,0.8,0.05
"83",1,"continuous",200,200,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"84",1,"continuous",200,200,1,3,10,10,NA,NA,1,0.5895,0.5206,0.8,0.05
"85",1,"continuous",200,200,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"86",1,"continuous",200,200,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"87",1,"continuous",200,200,1,4,10,10,NA,NA,1,0.8864,0.8504,0.8,0.05
"88",1,"continuous",200,200,1,5,1,1,NA,NA,1,1,1,0.8,0.05
