"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"52",1,"continuous",100,100,1,3,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"53",1,"continuous",100,100,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9946,0.9946,0.9944,NA,NA,"calibrated",0.05
"54",1,"continuous",100,100,1,3,10,10,NA,NA,0.296,0.2965,0.2932,NA,NA,"calibrated",0.05
"55",1,"continuous",100,100,1,4,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"56",1,"continuous",100,100,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"57",1,"continuous",100,100,1,4,10,10,NA,NA,0.5682,0.5656,0.5634,NA,NA,"calibrated",0.05
"58",1,"continuous",100,100,1,5,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"59",1,"continuous",100,100,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"60",1,"continuous",100,100,1,5,10,10,NA,NA,0.8106,0.8089,0.8067,NA,NA,"calibrated",0.05
"61",1,"continuous",150,150,1,1,1,1,NA,NA,0.05,0.05,0.0505,NA,NA,"calibrated",0.05
"62",1,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0505,NA,NA,"calibrated",0.05
"63",1,"continuous",150,150,1,1,10,10,NA,NA,0.05,0.05,0.0505,NA,NA,"calibrated",0.05
"64",1,"continuous",150,150,1,2,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"65",1,"continuous",150,150,1,2,3.16227766016838,3.16227766016838,NA,NA,0.7785,0.7782,0.7788,NA,NA,"calibrated",0.05
"66",1,"continuous",150,150,1,2,10,10,NA,NA,0.1343,0.1352,0.1354,NA,NA,"calibrated",0.05
"67",1,"continuous",150,150,1,3,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"68",1,"continuous",150,150,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9996,0.9996,0.9996,NA,NA,"calibrated",0.05
"69",1,"continuous",150,150,1,3,10,10,NA,NA,0.3959,0.3971,0.3977,NA,NA,"calibrated",0.05
"70",1,"continuous",150,150,1,4,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"71",1,"continuous",150,150,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"72",1,"continuous",150,150,1,4,10,10,NA,NA,0.7328,0.7336,0.7345,NA,NA,"calibrated",0.05
"73",1,"continuous",150,150,1,5,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"74",1,"continuous",150,150,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"75",1,"continuous",150,150,1,5,10,10,NA,NA,0.9294,0.9286,0.9287,NA,NA,"calibrated",0.05
"76",1,"continuous",200,200,1,1,1,1,NA,NA,0.05,0.05,0.0502,NA,NA,"calibrated",0.05
"77",1,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0502,NA,NA,"calibrated",0.05
"78",1,"continuous",200,200,1,1,10,10,NA,NA,0.05,0.05,0.0502,NA,NA,"calibrated",0.05
"79",1,"continuous",200,200,1,2,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"80",1,"continuous",200,200,1,2,3.16227766016838,3.16227766016838,NA,NA,0.8847,0.8831,0.8833,NA,NA,"calibrated",0.05
"81",1,"continuous",200,200,1,2,10,10,NA,NA,0.1725,0.172,0.1724,NA,NA,"calibrated",0.05
"82",1,"continuous",200,200,1,3,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"83",1,"continuous",200,200,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"84",1,"continuous",200,200,1,3,10,10,NA,NA,0.5193,0.5202,0.5206,NA,NA,"calibrated",0.05
"85",1,"continuous",200,200,1,4,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"86",1,"continuous",200,200,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"87",1,"continuous",200,200,1,4,10,10,NA,NA,0.8508,0.8498,0.8504,NA,NA,"calibrated",0.05
"88",1,"continuous",200,200,1,5,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"89",1,"continuous",200,200,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"90",1,"continuous",200,200,1,5,10,10,NA,NA,0.9799,0.9799,0.9799,NA,NA,"calibrated",0.05
"91",1,"continuous",250,250,1,1,1,1,NA,NA,0.05,0.05,0.0489,NA,NA,"calibrated",0.05
"92",1,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0489,NA,NA,"calibrated",0.05
"93",1,"continuous",250,250,1,1,10,10,NA,NA,0.05,0.05,0.0489,NA,NA,"calibrated",0.05
"94",1,"continuous",250,250,1,2,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"95",1,"continuous",250,250,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9457,0.9457,0.9444,NA,NA,"calibrated",0.05
"96",1,"continuous",250,250,1,2,10,10,NA,NA,0.2047,0.2039,0.2021,NA,NA,"calibrated",0.05
"97",1,"continuous",250,250,1,3,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"98",1,"continuous",250,250,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"99",1,"continuous",250,250,1,3,10,10,NA,NA,0.6075,0.6088,0.6052,NA,NA,"calibrated",0.05
"100",1,"continuous",250,250,1,4,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"101",1,"continuous",250,250,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"102",1,"continuous",250,250,1,4,10,10,NA,NA,0.92,0.9204,0.9193,NA,NA,"calibrated",0.05
"103",1,"continuous",250,250,1,5,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"104",1,"continuous",250,250,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"105",1,"continuous",250,250,1,5,10,10,NA,NA,0.9947,0.9948,0.9946,NA,NA,"calibrated",0.05
"106",1,"continuous",300,300,1,1,1,1,NA,NA,0.05,0.05,0.0504,NA,NA,"calibrated",0.05
"107",1,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0504,NA,NA,"calibrated",0.05
"108",1,"continuous",300,300,1,1,10,10,NA,NA,0.05,0.05,0.0504,NA,NA,"calibrated",0.05
"109",1,"continuous",300,300,1,2,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"110",1,"continuous",300,300,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9708,0.9703,0.9711,NA,NA,"calibrated",0.05
"111",1,"continuous",300,300,1,2,10,10,NA,NA,0.2307,0.2283,0.2311,NA,NA,"calibrated",0.05
"112",1,"continuous",300,300,1,3,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"113",1,"continuous",300,300,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"114",1,"continuous",300,300,1,3,10,10,NA,NA,0.6789,0.6762,0.6793,NA,NA,"calibrated",0.05
"115",1,"continuous",300,300,1,4,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"116",1,"continuous",300,300,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"117",1,"continuous",300,300,1,4,10,10,NA,NA,0.9577,0.957,0.9579,NA,NA,"calibrated",0.05
"118",1,"continuous",300,300,1,5,1,1,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"119",1,"continuous",300,300,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"120",1,"continuous",300,300,1,5,10,10,NA,NA,0.9982,0.9982,0.9982,NA,NA,"calibrated",0.05
"121",1,"continuous",350,350,1,1,1,1,NA,NA,0.05,0.05,0.0524,NA,NA,"calibrated",0.05
"122",1,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0524,NA,NA,"calibrated",0.05
